t,dp1,dp2,dp3,tau1,tau2,tau3
1.88,-0.505908075554404,-0.809210063142273,0.18301395738588,40.2979501306939,-10.6834118814463,-1.09004713606487
1.89,-0.513908892026639,-0.811619560416144,0.169537802423249,40.4070169211866,-10.8815988697202,-1.09686882083301
1.9,-0.521909708498873,-0.814029057690014,0.156061647460618,40.5157622740044,-11.0780147805622,-1.10197311690241
1.91,-0.529910524971107,-0.816438554963884,0.142585492497987,40.6241958879279,-11.2726201307526,-1.10534283069271
1.92,-0.537911341443342,-0.818848052237755,0.129109337535356,40.732326547963,-11.4653765553274,-1.10696176562146
1.93,-0.545912157915576,-0.821257549511625,0.115633182572726,40.8401621233125,-11.6562468226169,-1.10681473300361
1.94,-0.55391297438781,-0.823667046785496,0.102157027610095,40.9477095658137,-11.8451948486139,-1.10488756234614
1.95,-0.561913790860044,-0.826076544059366,0.0886808726474638,41.0549749088382,-12.0321857106486,-1.10116711102986
1.96,-0.569914607332278,-0.828486041333237,0.0752047176848329,41.1619632666556,-12.2171856603751,-1.095641273374
1.97,-0.577915423804513,-0.830895538607107,0.0617285627222021,41.2686788342584,-12.4001621360627,-1.08829898907795
1.98,-0.585916240276747,-0.833305035880977,0.0482524077595712,41.3751248876439,-12.5810837741766,-1.07913025103351
1.99,-0.593917056748981,-0.835714533154848,0.0347762527969403,41.481303784554,-12.7599204202507,-1.06812611250438
2,-0.601917873221215,-0.838124030428718,0.0213000978343094,41.5872169656697,-12.9366431390427,-1.0552786936676
